window,family_name,observed_tes,total_tes,observed_or,fisher_p_raw,random_or_mean,random_or_sd,random_or_quantile_of_observed,or_observed_to_random,empirical_p_raw,n_permutations,fisher_p_adjusted,empirical_p_adjusted,significant
5kb,5S-Deu-L2,154,2019,1.6932111691570289,4.863827608524632e-09,1.520930101516913,0.17374255946764447,0.818,1.1132734945993177,0.3640000000000001,500,1.1263600777635989e-08,0.444888888888889,True
5kb,Alu,90028,1164096,1.7192052529645017,0.0,1.449311910197791,0.006908726421977231,1.0,1.1862217103631458,0.003992015968063872,500,0.0,0.008,True
5kb,CR1,5365,49193,2.510133355954831,0.0,2.5190078655601416,0.05211050769032662,0.424,0.99647698217753,0.848,500,0.0,0.8677209302325581,True
5kb,Crypton,8,305,0.5523350064616359,0.10178246234818415,1.4336280408849116,0.44236907449664997,0.004,0.3852707890121243,0.008,500,0.1444654304296807,0.015304347826086957,False
5kb,Crypton-A,6,150,0.8543932453115853,0.847405160345825,1.4719224364906638,0.6398621712657775,0.126,0.5804607798143341,0.252,500,0.8474277072906788,0.32611764705882357,False
5kb,Dong-R4,38,503,1.675713392669764,0.0039566379663826794,2.5175323888253467,0.5253579561067435,0.03,0.6656174117591527,0.06,500,0.007569220457427735,0.0910344827586207,True
5kb,ERV1,8484,116610,1.6089746239401777,0.0,1.8632037790489995,0.027386495925950164,0.0,0.86355268384085,0.003992015968063872,500,0.0,0.008,True
5kb,ERVK,547,7870,1.5316795433838049,1.366325765412029e-19,1.8712412464288537,0.10496440394719232,0.0,0.8185366511704031,0.003992015968063872,500,3.75739585488308e-19,0.008,True
5kb,ERVL,4405,116199,0.807966457328087,1.2639284218859163e-46,1.7278650821568422,0.025722687475111285,0.0,0.46760969109898715,0.003992015968063872,500,4.634404213581693e-46,0.008,True
5kb,ERVL-MaLR,8601,259882,0.7018550034855374,1.5478117548969901e-255,1.5570344724972496,0.01629345844428266,0.0,0.45076394638833356,0.003992015968063872,500,8.512964651933446e-255,0.008,True
5kb,Gypsy,794,18413,0.9240768755392234,0.029985366871201943,1.7347009981659691,0.06294373220459538,0.0,0.5327009533724909,0.003992015968063872,500,0.04549503939078916,0.008,True
5kb,Helitron,93,1869,1.0737645388736463,0.5094585102139647,1.5690000845591798,0.18701700082123218,0.002,0.6843623205892478,0.004,500,0.633035996241602,0.008,False
5kb,I-Jockey,7,132,1.148304536961002,0.6768691892589658,1.5417926719863835,0.7052331722551105,0.266,0.7447853124645955,0.532,500,0.7406113088554621,0.6092307692307692,False
5kb,Kolobok,20,404,1.0679915735545087,0.7229378881558299,1.5110317112563403,0.4194640056205383,0.114,0.7067962674764331,0.228,500,0.7573635018775361,0.3135,False
5kb,L1,52489,565459,2.0985905651475147,0.0,3.3684329947076823,0.019121344882362286,0.0,0.6230168652440817,0.003992015968063872,500,0.0,0.008,True
5kb,L1-Tx1,6,151,0.8485008778170726,0.8474277072906788,1.8010414372700287,0.7411358798696096,0.066,0.4711167995685918,0.132,500,0.8474277072906788,0.19360000000000002,False
5kb,L2,45908,373176,2.877024948652099,0.0,2.441448390220924,0.01722632972390112,1.0,1.1784090788795092,0.003992015968063872,500,0.0,0.008,True
5kb,MIR,46405,534149,1.9512354496093327,0.0,1.4427570409524446,0.011028359501310833,1.0,1.3524352293725166,0.003992015968063872,500,0.0,0.008,True
5kb,MULE-MuDR,91,2459,0.7880044534499713,0.024300797635751055,1.9797393902235316,0.2018111356532129,0.0,0.3980344369270735,0.003992015968063872,500,0.03818696771332309,0.008,True
5kb,Merlin,3,232,0.2686301774239169,0.011328860736477302,1.486793336346771,0.5008072013490424,0.0,0.18067755003797192,0.003992015968063872,500,0.01993879489620005,0.008,True
5kb,PIF-Harbinger,9,402,0.46959015100916446,0.017389754591545663,1.6986343147448728,0.4499538419447486,0.0,0.2764515863908559,0.003992015968063872,500,0.02833885933437071,0.008,True
5kb,Penelope,84,779,2.478355956991137,2.6049822065718067e-12,1.7022951399690336,0.30258381883187707,0.992,1.4558908727403292,0.016000000000000014,500,6.3677342827310825e-12,0.028160000000000022,True
5kb,PiggyBac,81,2156,0.8004531321565431,0.0516975248782731,1.5305765215131273,0.17307694516739383,0.0,0.5229749188660071,0.003992015968063872,500,0.07582303648813389,0.008,False
5kb,RTE-BovB,508,5031,2.3030694617721523,1.1169384173305103e-57,2.532025310832727,0.1614278767430849,0.074,0.9095760030197817,0.148,500,4.4677536693220413e-57,0.21006451612903224,True
5kb,RTE-X,1000,10790,2.094536461310031,1.1211079271177332e-90,2.9208998918306013,0.12390165430947798,0.0,0.7170860142000047,0.003992015968063872,500,4.932874879318026e-90,0.008,True
5kb,SVA,545,6274,1.950686717652342,2.4331248651297686e-42,1.8149443368763032,0.10971960300534281,0.882,1.0747914842444506,0.236,500,8.235191851208447e-42,0.31466666666666665,True
5kb,TcMar,7,223,0.6645280681740462,0.34119066163812906,1.5160187319352372,0.5519017822001311,0.024,0.4383376367162422,0.048,500,0.4549208821841721,0.07542857142857143,False
5kb,TcMar-Mariner,737,15617,1.015625605635032,0.6759096187734353,1.4656935736570942,0.060794846851944646,0.0,0.6929317450037767,0.003992015968063872,500,0.7406113088554621,0.008,False
5kb,TcMar-Pogo,2,37,1.1717393184911657,0.6901150832516806,1.5434296585759106,1.5108817590627024,0.37,0.7591789570587262,0.74,500,0.7406113088554621,0.7752380952380952,False
5kb,TcMar-Tc1,67,701,2.1669790065175993,4.410475626729218e-08,1.4792033898723445,0.295955090665875,0.986,1.4649635211453984,0.028000000000000025,500,9.70304637880428e-08,0.04562962962962967,True
5kb,TcMar-Tc2,365,6918,1.1421466850704636,0.015188924289007068,1.5830704636818955,0.09418253301766273,0.0,0.721475582592872,0.003992015968063872,500,0.025704333412165804,0.008,True
5kb,TcMar-Tigger,5166,106067,1.0498535410815095,0.000697545172542513,1.6372905369008135,0.02597456100260588,0.0,0.6412139552634019,0.003992015968063872,500,0.001395090345085026,0.008,True
5kb,hAT,133,3038,0.9388031308625294,0.5179385423794926,1.4857994315020255,0.13533488284617437,0.0,0.6318505115548966,0.003992015968063872,500,0.633035996241602,0.008,False
5kb,hAT-Ac,337,3692,2.0597141229850515,1.5030933276139419e-30,2.145416639780047,0.16376132810922106,0.296,0.9600532058874205,0.592,500,4.724007601072389e-30,0.6512,True
5kb,hAT-Blackjack,991,16167,1.3390171497207066,1.2539772243844303e-17,1.4810504859867741,0.064266248119628,0.006,0.9040995984877346,0.012,500,3.245588110171467e-17,0.022000000000000002,True
5kb,hAT-Charlie,14731,232104,1.3896584005694674,1.4353818264506998e-297,1.5262775407008085,0.01676221945227271,0.0,0.910488665076857,0.003992015968063872,500,9.022400051975827e-297,0.008,True
5kb,hAT-Tag1,188,1849,2.320906198453682,9.830974310262165e-23,2.4440484031939174,0.26220795196590807,0.33,0.949615480372929,0.66,500,2.8837524643435686e-22,0.7082926829268293,True
5kb,hAT-Tip100,3865,57232,1.4850789485339086,1.2425762767885743e-111,1.6046222392425984,0.0339622205322358,0.0,0.9255006644024106,0.003992015968063872,500,6.074817353188585e-111,0.008,True
5kb,hAT-hAT19,1,18,1.2062022386065236,0.5756016405867868,1.6124335270713843,2.5707347101037077,0.438,0.7480632338359482,0.876,500,0.684499248265368,0.876,False
5kb,hAT?,2,34,1.2815898808932362,0.671514950847292,2.071186272030695,1.6319844001563737,0.27,0.6187709421406609,0.54,500,0.7406113088554621,0.6092307692307692,False
5kb,tRNA,124,1612,1.708787109009458,8.515909508723471e-08,1.4873085055267656,0.1963804313271335,0.868,1.1489123491593631,0.264,500,1.7842858018277748e-07,0.33188571428571434,True
5kb,tRNA-Deu,25,455,1.1921766629195358,0.3725601409420825,1.424750726257198,0.36689329781740876,0.254,0.8367615758662351,0.508,500,0.4821366529838715,0.6041081081081081,False
5kb,tRNA-RTE,230,4154,1.2018990837087977,0.007939968604130942,1.4452504842263552,0.11298621641147359,0.01,0.8316199142131242,0.02,500,0.014556609107573395,0.033846153846153845,True
